Output Steer,Human Steer,Output Motor,Human Motor,Loss
3.691577017307281494e-01,4.032723307609558105e-01,5.658960938453674316e-01,5.531827807426452637e-01,6.788847967982292175e-04
6.197544932365417480e-01,6.368685960769653320e-01,5.651950240135192871e-01,5.494273304939270020e-01,2.807500422932207584e-04
7.036329507827758789e-01,7.886174321174621582e-01,5.830866098403930664e-01,5.656566023826599121e-01,3.787906840443611145e-03
9.967104196548461914e-01,9.969481229782104492e-01,5.455844402313232422e-01,5.464050173759460449e-01,2.463003693264909089e-05
5.013239979743957520e-01,4.367885589599609375e-01,5.746647715568542480e-01,5.904040336608886719e-01,2.262185094878077507e-03
3.400123715400695801e-01,3.385798335075378418e-01,6.061856150627136230e-01,5.764111280441284180e-01,2.976536517962813377e-03
6.968730688095092773e-02,-4.794431384652853012e-03,5.713692903518676758e-01,5.488151311874389648e-01,3.043205244466662407e-03
6.952134370803833008e-01,6.875153779983520508e-01,5.687738656997680664e-01,5.519929528236389160e-01,2.417293580947443843e-04
2.176001369953155518e-01,2.509326040744781494e-01,5.728782415390014648e-01,5.454545617103576660e-01,9.566023945808410645e-04
7.570817321538925171e-02,3.246368374675512314e-03,5.635260343551635742e-01,5.466252565383911133e-01,2.874614903703331947e-03
1.936537176370620728e-01,2.730155289173126221e-01,5.980039834976196289e-01,5.997474789619445801e-01,3.169338451698422432e-03
8.443654179573059082e-01,7.151333689689636230e-01,5.408464670181274414e-01,5.606595873832702637e-01,9.107729420065879822e-03
5.413143634796142578e-01,4.977840483188629150e-01,5.740077495574951172e-01,5.556756854057312012e-01,1.141261076554656029e-03
3.080386221408843994e-01,2.268184125423431396e-01,5.763681530952453613e-01,5.555555224418640137e-01,3.543889848515391350e-03
1.309795230627059937e-01,2.630837820470333099e-02,5.573675036430358887e-01,5.560606122016906738e-01,5.484397523105144501e-03
5.584588646888732910e-01,9.115032851696014404e-02,5.975440740585327148e-01,5.438131690025329590e-01,1.151736751198768616e-01
1.036724209785461426e+00,9.780257940292358398e-01,5.809454321861267090e-01,5.557333230972290039e-01,2.050901995971798897e-03
8.267612755298614502e-02,-9.380676783621311188e-03,5.551368594169616699e-01,5.434343814849853516e-01,4.323107190430164337e-03
4.528347775340080261e-02,5.068809539079666138e-02,5.775913000106811523e-01,5.538717508316040039e-01,4.128595755901187658e-04
8.013581037521362305e-01,4.271082878112792969e-01,5.902048349380493164e-01,5.664039850234985352e-01,8.154658973217010498e-02
