Output Steer,Human Steer,Output Motor,Human Motor,Loss
4.623951911926269531e-01,5.976257920265197754e-01,5.688087940216064453e-01,5.454545617103576660e-01,9.622081182897090912e-03
2.127395570278167725e-01,1.389180421829223633e-01,5.964874029159545898e-01,5.841060280799865723e-01,2.880958374589681625e-03
5.740745458751916885e-03,1.105061080306768417e-02,5.322144627571105957e-01,5.563646554946899414e-01,3.222385421395301819e-04
4.708116874098777771e-02,1.526632606983184814e-01,5.366085767745971680e-01,5.440767407417297363e-01,5.638127215206623077e-03
8.929386138916015625e-01,9.512146115303039551e-01,5.622310638427734375e-01,5.476009845733642578e-01,1.850544242188334465e-03
8.871285319328308105e-01,9.967266917228698730e-01,5.574974417686462402e-01,5.460858345031738281e-01,6.089475005865097046e-03
6.445995569229125977e-01,4.864423274993896484e-01,5.819912552833557129e-01,6.160980463027954102e-01,1.333253085613250732e-02
7.631289362907409668e-01,7.309897541999816895e-01,5.618227720260620117e-01,5.462868809700012207e-01,6.605376256629824638e-04
3.071483969688415527e-01,2.626702785491943359e-01,6.116062402725219727e-01,6.171081662178039551e-01,1.800843747332692146e-03
5.579455494880676270e-01,5.457066297531127930e-01,5.761117339134216309e-01,6.092463731765747070e-01,6.908386130817234516e-04
2.657070383429527283e-02,-2.570400014519691467e-03,5.690230727195739746e-01,5.565656423568725586e-01,5.157746491022408009e-04
6.494678854942321777e-01,6.519504189491271973e-01,5.697833299636840820e-01,5.454545617103576660e-01,3.321254043839871883e-04
3.147864937782287598e-01,8.203904330730438232e-02,5.967422723770141602e-01,5.935423970222473145e-01,2.780105546116828918e-02
5.124678015708923340e-01,4.654374718666076660e-01,5.790059566497802734e-01,5.545454621315002441e-01,1.425830414518713951e-03
2.501687407493591309e-01,2.295393496751785278e-01,6.205547451972961426e-01,6.156263351440429688e-01,6.960366736166179180e-04
3.952525928616523743e-02,-5.257724318653345108e-03,5.734733343124389648e-01,5.454545617103576660e-01,1.423008041456341743e-03
8.866637945175170898e-01,9.880228042602539062e-01,5.704846382141113281e-01,5.640152096748352051e-01,5.168418399989604950e-03
1.240373030304908752e-01,1.032299026846885681e-01,5.482800006866455078e-01,5.526293516159057617e-01,3.282355028204619884e-04
5.770570039749145508e-01,6.315568685531616211e-01,5.866087675094604492e-01,5.888262987136840820e-01,1.605693483725190163e-03
3.349932432174682617e-01,4.264282584190368652e-01,5.631495714187622070e-01,5.561868548393249512e-01,4.216510336846113205e-03
1.173595711588859558e-02,1.624845527112483978e-02,5.707728862762451172e-01,5.601384043693542480e-01,1.639280235394835472e-04
9.263526797294616699e-01,9.900339245796203613e-01,5.837725996971130371e-01,5.643101334571838379e-01,2.268393989652395248e-03
5.826397538185119629e-01,5.766114592552185059e-01,5.887458324432373047e-01,6.075383424758911133e-01,4.045919049531221390e-04
1.894897818565368652e-01,2.372425049543380737e-01,5.752646923065185547e-01,6.138687133789062500e-01,1.923962146975100040e-03
8.811191320419311523e-01,9.839972257614135742e-01,5.629739165306091309e-01,5.555555224418640137e-01,5.323390476405620575e-03
4.731373190879821777e-01,3.371296823024749756e-01,5.756293535232543945e-01,5.454545617103576660e-01,9.748881682753562927e-03
8.819053769111633301e-01,9.029323458671569824e-01,5.787357687950134277e-01,5.461282730102539062e-01,7.784554036334156990e-04
2.080533504486083984e-01,3.427762091159820557e-01,5.596901178359985352e-01,6.071848869323730469e-01,1.223786734044551849e-02
3.488701581954956055e-01,3.410248160362243652e-01,5.661583542823791504e-01,5.818383097648620605e-01,5.212122341617941856e-04
5.782717466354370117e-01,3.630865514278411865e-01,5.882470011711120605e-01,6.315596103668212891e-01,2.420478127896785736e-02
7.247558236122131348e-01,7.886174321174621582e-01,5.918736457824707031e-01,5.656566023826599121e-01,2.407565712928771973e-03
2.774222493171691895e-01,4.766161441802978516e-01,5.678279399871826172e-01,5.828181505203247070e-01,1.997882127761840820e-02
9.115861058235168457e-01,9.938777685165405273e-01,5.675640702247619629e-01,5.454545617103576660e-01,3.637343645095825195e-03
4.015507698059082031e-01,3.230694830417633057e-01,5.809971094131469727e-01,5.621626973152160645e-01,3.275414928793907166e-03
7.638691067695617676e-01,9.973217844963073730e-01,6.030701994895935059e-01,5.777777433395385742e-01,2.771403826773166656e-02
4.461344182491302490e-01,4.338361322879791260e-01,5.749290585517883301e-01,5.664646029472351074e-01,2.172008389607071877e-04
9.287694096565246582e-01,9.811393022537231445e-01,5.919472575187683105e-01,6.080807447433471680e-01,1.527409069240093231e-03
7.596346735954284668e-01,8.278719782829284668e-01,5.664304494857788086e-01,5.676303505897521973e-01,1.253819279372692108e-02
7.747282981872558594e-01,9.845927953720092773e-01,5.870956182479858398e-01,6.127747893333435059e-01,2.245421335101127625e-02
6.256806254386901855e-01,5.688421726226806641e-01,5.788974165916442871e-01,5.655747652053833008e-01,3.099075751379132271e-03
8.403712511062622070e-01,8.125064969062805176e-01,5.749982595443725586e-01,6.081333756446838379e-01,9.518688311800360680e-04
5.046725869178771973e-01,5.772948265075683594e-01,5.912600159645080566e-01,5.670706629753112793e-01,3.608956467360258102e-03
7.165055871009826660e-01,7.138593792915344238e-01,5.608137845993041992e-01,5.544736981391906738e-01,3.684435068862512708e-05
3.086079284548759460e-02,2.243714034557342529e-02,5.638929009437561035e-01,5.454545617103576660e-01,2.072232309728860855e-04
9.057575464248657227e-01,9.779748916625976562e-01,5.757953524589538574e-01,5.562959909439086914e-01,2.809557830914855003e-03
4.130632281303405762e-01,4.103817045688629150e-01,5.798084735870361328e-01,5.659564733505249023e-01,5.791953881271183491e-04
5.607808828353881836e-01,7.790325880050659180e-01,5.749551057815551758e-01,5.437494516372680664e-01,2.434718981385231018e-02
4.793656617403030396e-02,6.823667138814926147e-02,5.566304922103881836e-01,5.353536009788513184e-01,4.373341798782348633e-04
4.167106747627258301e-01,5.041942596435546875e-01,5.895937681198120117e-01,5.729171633720397949e-01,4.127457737922668457e-03
7.580471634864807129e-01,7.602866888046264648e-01,6.105670928955078125e-01,6.146758198738098145e-01,3.693632024805992842e-04
2.862065434455871582e-01,2.131383121013641357e-01,5.674555301666259766e-01,5.505050420761108398e-01,2.851331606507301331e-03
3.297093510627746582e-01,3.932163715362548828e-01,5.663177371025085449e-01,5.974121689796447754e-01,2.532418584451079369e-03
